"Date","Location","City","Region","Title","Amount","Department","Views","Trans_details"
"October 30, 2015","Thane                       , Maharashtra","Thane","Maharashtra","I Paid Rs. 777 to Municipal Services in Thane.",777,"Municipal Services",102,"Birth Certificate"
"October 30, 2015","Pune                       , Maharashtra","Pune","Maharashtra","I Paid Rs. 100 to Passport in Pune.",100,"Passport",129,"Passport Delivery"
"October 30, 2015","Amritsar                       , Punjab","Amritsar","Punjab","I Paid Rs. 65 to Others in Amritsar.",65,"Others",103,"Others"
"October 30, 2015","Nashik                       , Maharashtra","Nashik","Maharashtra","I Paid Rs. 5000 to Municipal Services in Nashik.",5000,"Municipal Services",90,"Birth Certificate"
"October 30, 2015","Mangalore                       , Karnataka","Mangalore","Karnataka","I Paid Rs. 1995 to Municipal Services in Mangalore.",1995,"Municipal Services",89,"Birth Certificate"
"October 30, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 200 to Municipal Services in Abhayapuri.",200,"Municipal Services",74,"Birth Certificate"
"October 30, 2015","Gonda                       , Uttar Pradesh","Gonda","Uttar Pradesh","I Paid Rs. 272165 to Others in Gonda.",272165,"Others",80,"Others"
"October 30, 2015","Abohar                       , Punjab","Abohar","Punjab","I Paid Rs. 33 to Commercial Tax, Sales Tax, VAT in Abohar.",33,"Commercial Tax, Sales Tax, VAT",75,"C Form"
"October 30, 2015","Jabalpur                       , Madhya Pradesh","Jabalpur","Madhya Pradesh","I Paid Rs. 10 to Municipal Services in Jabalpur.",10,"Municipal Services",83,"Birth Certificate"
"October 30, 2015","Hingoli                       , Maharashtra","Hingoli","Maharashtra","I Paid Rs. 500 to Income Tax in Hingoli.",500,"Income Tax",80,"New PAN Card"
"October 30, 2015","Achhnera                       , Uttar Pradesh","Achhnera","Uttar Pradesh","I Paid Rs. 800 to Municipal Services in Achhnera.",800,"Municipal Services",108,"Birth Certificate"
"October 29, 2015","Mumbai                       , Maharashtra","Mumbai","Maharashtra","I Paid Rs. 16000 to Municipal Services in Mumbai.",16000,"Municipal Services",127,"Birth Certificate"
"October 29, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 123 to Transport in New Delhi.",123,"Transport",135,"New Domestic Driving License"
"October 29, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 5000 to Municipal Services in Abhayapuri.",5000,"Municipal Services",111,"Birth Certificate"
"October 29, 2015","Pimpri-Chinchwad                       , Maharashtra","Chinchwad","Maharashtra","I Paid Rs. 1000 to Municipal Services in Pimpri-Chinchwad.",1000,"Municipal Services",94,"Birth Certificate"
"October 29, 2015","Ambattur                       , Tamil Nadu","Ambattur","Tamil Nadu","I Paid Rs. 500 to Others in Ambattur.",500,"Others",115,"Others"
"October 29, 2015","Cooch Behar                       , West Bengal","Cooch Behar","West Bengal","I Paid Rs. 2000 to Others in Cooch Behar.",2000,"Others",106,"Others"
"October 29, 2015","Surat                       , Gujarat","Surat","Gujarat","I Paid Rs. 50 to Police in Surat.",50,"Police",117,"Traffic Violations"
"October 29, 2015","Chennai                       , Tamil Nadu","Chennai","Tamil Nadu","I paid a bribe of Rs 5000 for Marriage  Registration",5000,"Stamps and Registration",211,"Marriage Registration"
"October 29, 2015","Katihar                       , Bihar","Katihar","Bihar","I Paid Rs. 123456 to Others in Katihar.",123456,"Others",110,"Others"
"October 29, 2015","Adilabad                       , Telangana","Adilabad","Telangana","I Paid Rs. 8 to Income Tax in Adilabad.",8,"Income Tax",147,"New PAN Card"
"October 28, 2015","Gwalior                       , Madhya Pradesh","Gwalior","Madhya Pradesh","Mr Harsh Chaturvedi, Inspector of Factory Act 1948, Moti Mahal Gwalior",5000,"Labour",152,"Inspection of Office or Factories"
"October 28, 2015","Thiruvananthapuram                       , Kerala","Thiruvananthapuram","Kerala","I Paid Rs. 1000 to Municipal Services in Thiruvananthapuram.",1000,"Municipal Services",169,"Birth Certificate"
